elevated:
S1=01:47.240-01:47.402 S2=01:47.445-01:47.537
S1=01:47.679-01:47.851 S2=01:47.901-01:48.030
S1=01:48.124-01:48.299 S2=01:48.340-01:48.435
S1=01:48.570-01:48.763 S2=01:48.788-01:48.872
S1=01:49.010-01:49.196 S2=01:49.221-01:49.324
S1=01:49.462-01:49.623 S2=01:49.672-01:49.773
S1=01:49.891-01:50.084 S2=01:50.131-01:50.209
S1=01:50.367-01:50.545 S2=01:50.590-01:50.679

high, post-hold release (~158):
S1=02:49.181-02:49.315 S2=02:49.343-02:49.427
S1=02:49.535-02:49.662 S2=02:49.712-02:49.776
S1=02:49.902-02:50.026 S2=02:50.089-02:50.177
S1=02:50.298-02:50.414 S2=02:50.466-02:50.541
S1=02:50.687-02:50.817 S2=02:50.847-02:50.911
S1=02:51.083-02:51.214 S2=02:51.262-02:51.356
