# Noise
EX=00:00.000-00:04.049 (scope: all)

~80bpm:
S1=00:04.218-00:04.315 S2=00:04.522-00:04.617
S1=00:04.925-00:05.078 S2=00:05.259-00:05.347
S1=00:05.704-00:05.845 S2=00:06.020-00:06.119
S1=00:06.461-00:06.559 S2=00:06.779-00:06.852
S1=00:07.125-00:07.269 S2=00:07.441-00:07.550

~95bpm:
S1=00:07.768-00:07.912 S2=00:08.088-00:08.157
S1=00:08.399-00:08.543 S2=00:08.713-00:08.781
S1=00:08.988-00:09.169 S2=00:09.313-00:09.432
S1=00:09.611-00:09.748 S2=00:09.910-00:10.004
S1=00:10.198-00:10.342 S2=00:10.514-00:10.610
S1=00:10.804-00:10.958 S2=00:11.109-00:11.190
S1=00:11.379-00:11.550 S2=00:11.679-00:11.791
S1=00:11.958-00:12.061 S2=00:12.241-00:12.338
S1=00:12.515-00:12.616 S2=00:12.800-00:12.874
S1=00:13.057-00:13.174 S2=00:13.351-00:13.426
S1=00:13.612-00:13.710 S2=00:13.894-00:13.989
S1=00:14.148-00:14.260 S2=00:14.436-00:14.540
S1=00:14.673-00:14.816 S2=00:14.975-00:15.056
S1=00:15.240-00:15.370 S2=00:15.526-00:15.600
S1=00:15.794-00:15.918 S2=00:16.072-00:16.153
S1=00:16.327-00:16.458 S2=00:16.614-00:16.710
S1=00:16.880-00:16.999 S2=00:17.153-00:17.245

~150bpm:
S1=01:28.580-01:28.689 S2=01:28.796-01:28.876
S1=01:28.975-01:29.069 S2=01:29.190-01:29.263
S1=01:29.358-01:29.476 S2=01:29.572-01:29.650
S1=01:29.753-01:29.882 S2=01:29.965-01:30.054
S1=01:30.154-01:30.277 S2=01:30.367-01:30.435
S1=01:30.551-01:30.706 S2=01:30.760-01:30.838
S1=01:30.947-01:31.046 S2=01:31.159-01:31.221
S1=01:31.323-01:31.438 S2=01:31.560-01:31.630
